emp_no,first_name,last_name,title,from_date,salary
80456,Aemilian,Gire,Assistant Engineer,1988-04-17,40000
224472,Marla,Birta,Assistant Engineer,1996-01-20,40101
65604,Przemyslawa,Ouhyoung,Assistant Engineer,1987-05-15,48007
230227,IEEE,Hegner,Assistant Engineer,1991-03-30,45513
28631,Dmitry,Marletta,Assistant Engineer,1988-12-30,78423
278079,Mayumi,Chandrasekhar,Assistant Engineer,1993-03-31,40000
44229,Bojan,Luft,Assistant Engineer,1987-06-09,52310
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01,40000
59192,Luisa,Schusler,Assistant Engineer,1992-07-19,58121
202179,Emran,Munch,Assistant Engineer,1985-12-10,40000
53944,Dzung,Bhattacharjee,Assistant Engineer,1985-04-06,40000
89043,Mohammed,Riefers,Assistant Engineer,1987-04-30,51706
458238,Barton,Baumann,Assistant Engineer,1986-06-02,40000
415924,Eran,Moehrke,Assistant Engineer,1989-09-02,48216
94885,Vidya,Detkin,Assistant Engineer,1993-08-18,41658
410902,Masaki,Perng,Assistant Engineer,1992-11-29,40000
44285,Keiichiro,Chimia,Assistant Engineer,1995-07-15,40000
21547,Fatemeh,Crooks,Assistant Engineer,1988-05-16,40000
73017,Adel,Iisaka,Assistant Engineer,1996-01-02,59529
89101,Petter,Francisci,Assistant Engineer,1996-07-25,51251
202154,Adin,Azulay,Assistant Engineer,1986-05-31,67732
241486,Aron,Gihr,Assistant Engineer,1994-04-22,60654
253514,Apostol,Cannane,Assistant Engineer,1991-08-24,41810
227801,Valery,Brobst,Assistant Engineer,1993-06-05,58111
229092,Fumiya,Morrin,Assistant Engineer,1992-07-10,40301
296186,Arunas,Fandrianto,Assistant Engineer,1986-09-08,55948
92770,Sudharsan,Braunmuhl,Assistant Engineer,1988-11-22,46554
54063,Bedrich,Perna,Assistant Engineer,1986-01-27,47334
48043,Visit,Murtafg,Assistant Engineer,1986-09-27,52886
457071,Gino,Herath,Assistant Engineer,1987-05-03,57278
224973,Steve,Gire,Assistant Engineer,1988-01-19,40000
107262,Feiyu,Butterworth,Assistant Engineer,1991-08-04,40000
100333,Kyoichi,Radivojevic,Assistant Engineer,1996-11-27,54918
241353,Randi,Jakobus,Assistant Engineer,1998-02-09,40000
89201,Kolar,Limongiello,Assistant Engineer,1986-05-08,40000
100364,Douadi,Luit,Assistant Engineer,2000-02-01,40000
59130,Mingsen,Baja,Assistant Engineer,1991-10-25,41843
21321,Laurentiu,Raney,Assistant Engineer,1985-11-06,58022
34348,Along,Klassen,Assistant Engineer,1988-08-02,50163
212697,Yongmao,Raney,Assistant Engineer,1999-04-27,49640
40321,Hinrich,Ouhyoung,Assistant Engineer,1988-12-30,40148
246630,Adib,Markovitch,Assistant Engineer,1992-07-07,69702
73143,Sreekrishna,Cincotta,Assistant Engineer,1991-04-22,40000
21211,Sasan,Pero,Assistant Engineer,1986-12-16,55407
234941,Pohua,Ouhyoung,Assistant Engineer,1996-11-29,66765
417776,Shuzo,Gruenwald,Assistant Engineer,1994-07-11,40000
260427,Munehiro,Jervis,Assistant Engineer,1985-10-20,40000
59348,Jackson,Heemskerk,Assistant Engineer,1987-07-07,40000
401337,Cathie,Guerreiro,Assistant Engineer,1995-03-21,40000
233451,Tommaso,Murrill,Assistant Engineer,1987-08-22,43964
47821,Raimond,Mitina,Assistant Engineer,1986-01-02,45083
80790,Stepehn,Unno,Assistant Engineer,1988-01-23,42243
21206,Krisda,Walstra,Assistant Engineer,1985-10-04,65765
202006,Gritta,Peac,Assistant Engineer,1997-07-19,49739
38879,Tsz,Morton,Assistant Engineer,1986-06-13,40000
491127,Khoa,Cheshire,Assistant Engineer,1997-01-08,61597
218916,Iara,Cronan,Assistant Engineer,1993-09-12,67382
73222,Kendra,Gurbaxani,Assistant Engineer,1985-02-22,40000
203816,Avishai,Akazan,Assistant Engineer,1993-01-08,40000
491008,Kristian,Koblick,Assistant Engineer,1997-07-22,40000
31290,Masoud,Coullard,Assistant Engineer,1997-07-27,40000
100927,Troy,Lovengreen,Assistant Engineer,1999-10-03,42027
89506,Danil,Rijckaert,Assistant Engineer,1988-07-10,56271
217753,Maria,Birge,Assistant Engineer,1986-12-12,42519
227894,Lijia,Kulisch,Assistant Engineer,1989-06-10,71601
215680,Lokesh,Billingsley,Assistant Engineer,1991-08-25,40000
231717,Bedir,Puoti,Assistant Engineer,1986-07-12,40000
223397,Jamaludin,Morris,Assistant Engineer,1986-02-25,57458
490763,Tomoyuki,Laurillard,Assistant Engineer,1995-04-02,62497
47640,Persi,Barreiro,Assistant Engineer,1990-04-02,81013
77531,Padma,Czaja,Assistant Engineer,1990-08-11,40000
222155,Kellie,Delgrande,Assistant Engineer,1992-12-01,60471
201810,Sadegh,Syang,Assistant Engineer,1988-08-22,58502
73354,Arunachalam,Bolotov,Assistant Engineer,1999-08-01,40000
204337,Brewster,Erol,Assistant Engineer,1998-10-22,40000
233040,Terresa,Weedon,Assistant Engineer,1986-01-13,45366
222159,Hatem,Mattern,Assistant Engineer,1986-09-02,49815
214144,Duke,Oppitz,Assistant Engineer,1988-11-16,40000
490344,Jayesh,Horswill,Assistant Engineer,1988-01-22,40000
455282,Uma,Besancenot,Assistant Engineer,1988-08-09,45459
228023,Hidefumi,Denna,Assistant Engineer,1988-12-21,46717
77431,Malu,Neiman,Assistant Engineer,1986-04-18,40000
20624,Xiong,Nanard,Assistant Engineer,1997-05-24,42597
246225,Reuven,Birjandi,Assistant Engineer,1997-05-19,47474
100920,Henk,Byoun,Assistant Engineer,1987-01-29,40000
291324,Steen,Schwartzburd,Assistant Engineer,1987-03-23,40000
84388,Chikako,Sifakis,Assistant Engineer,1994-10-14,40621
100960,Saniya,Candan,Assistant Engineer,1985-11-09,49070
272648,Jungsoon,Belinskaya,Assistant Engineer,1987-01-30,44517
490279,Uma,Bach,Assistant Engineer,1987-01-04,53914
100964,Arra,Mamelak,Assistant Engineer,1985-12-25,45421
205876,Gonzalo,Roccetti,Assistant Engineer,1987-10-14,44337
36340,Xiaoqiu,Speek,Assistant Engineer,1985-08-29,53971
234761,Lijia,Borstler,Assistant Engineer,1999-09-02,40000
21686,Kinh,Jansch,Assistant Engineer,1988-10-25,55890
100974,Adas,Ebeling,Assistant Engineer,1985-10-25,40000
68798,Theirry,Murtagh,Assistant Engineer,1986-11-30,40000
33665,Xumin,Zyda,Assistant Engineer,1997-11-26,45540
216789,Eben,Ghemri,Assistant Engineer,1989-11-07,56045
230898,Charlene,Vitiello,Assistant Engineer,1997-02-22,65686
80981,Fumitake,Niizuma,Assistant Engineer,1993-11-18,40000
28838,Steve,Kavraki,Assistant Engineer,1985-06-17,43960
234703,Deborah,Levasseur,Assistant Engineer,1997-06-14,58316
417495,Nakhoon,Miake,Assistant Engineer,1988-06-21,54941
298482,Claude,Radivojevic,Assistant Engineer,1992-03-29,40000
20327,Doowon,Lyonns,Assistant Engineer,1986-06-15,42856
47226,Limsoon,Lammel,Assistant Engineer,1987-05-30,67298
47224,Kankanahalli,Honiden,Assistant Engineer,1986-08-17,57544
101086,Fumino,Breugel,Assistant Engineer,1996-09-28,65639
404732,Arunas,Gonthier,Assistant Engineer,1992-12-08,47932
77266,Junichi,Dechter,Assistant Engineer,1991-05-01,42524
489909,Amabile,Kampfer,Assistant Engineer,1986-09-27,40000
454389,Nathan,Garnick,Assistant Engineer,1986-10-14,47655
100358,Lucian,Falby,Assistant Engineer,1985-04-17,40000
217870,JoAnna,Simmel,Assistant Engineer,1985-06-07,42348
47185,Premsyl,Homond,Assistant Engineer,1987-05-31,45866
54528,Tomoyuki,Narwekar,Assistant Engineer,1986-07-25,40000
90061,Supot,Ramaiah,Assistant Engineer,1990-05-24,40000
37664,Dines,Sundgren,Assistant Engineer,1988-07-30,40000
81068,Uno,Ecklund,Assistant Engineer,1986-10-23,41658
229070,Takushi,Cairo,Assistant Engineer,1993-07-29,40000
293158,Shaowei,Denos,Assistant Engineer,1988-04-09,40000
215747,Fan,Czap,Assistant Engineer,1987-04-03,41216
81149,Tianruo,Georg,Assistant Engineer,1985-09-29,40000
58136,Lidong,Tsunoo,Assistant Engineer,1991-07-18,40000
90946,Arunas,Chaudhuri,Assistant Engineer,1989-11-29,40000
58125,Xiaoshan,Cesareni,Assistant Engineer,1986-01-19,51416
231895,Shiv,Hmelo,Assistant Engineer,1985-09-09,40000
92667,Aloke,Takanami,Assistant Engineer,1988-05-29,75466
33306,Tesuro,Spell,Assistant Engineer,1997-11-18,67855
90150,Takahiro,Knightly,Assistant Engineer,1987-02-08,40000
453214,Xiaoheng,Hennebert,Assistant Engineer,1986-12-18,56784
81177,Bodh,Berendt,Assistant Engineer,1998-10-02,68201
19904,Mototsugu,Rosenbaum,Assistant Engineer,1990-05-24,44347
47094,Leni,Shimshoni,Assistant Engineer,1988-09-08,59515
209751,Cristinel,Rosch,Assistant Engineer,1987-01-18,40000
33226,Kenton,Hegner,Assistant Engineer,1990-01-08,64453
41274,Mari,Giveon,Assistant Engineer,1986-01-18,47643
49558,Marko,Rusterholz,Assistant Engineer,1994-03-27,49444
228285,Weiwu,Pollock,Assistant Engineer,1988-04-20,40000
68427,Ute,Mansanne,Assistant Engineer,1987-01-01,54299
17657,Thanasis,Zucker,Assistant Engineer,1989-06-18,43935
217876,Leah,Kossowski,Assistant Engineer,1992-11-04,40000
90256,Toney,Brender,Assistant Engineer,1989-11-16,53237
19818,Ashish,Ventosa,Assistant Engineer,1996-07-19,40000
224920,Xiaocheng,Sigstam,Assistant Engineer,1987-05-21,64184
33115,Padma,Peyn,Assistant Engineer,1988-11-28,44843
236019,Nishit,Gerlach,Assistant Engineer,1985-05-12,66788
216578,Koichi,Plesums,Assistant Engineer,1990-11-17,57321
488832,Deniz,Junot,Assistant Engineer,1990-04-20,40000
41283,KayLiang,Tetzlaff,Assistant Engineer,1985-05-26,52746
101408,Toong,Melton,Assistant Engineer,1986-05-25,40000
54685,Marek,Georgatos,Assistant Engineer,1988-05-14,60559
259841,Pascal,Beausoleil,Assistant Engineer,1988-05-29,40000
49624,Falguni,Mitsuhashi,Assistant Engineer,1996-01-08,40000
90917,Alejandra,Streit,Assistant Engineer,1993-01-14,40000
59899,Toong,Schueller,Assistant Engineer,1997-01-26,66788
488339,Muzhong,Yeung,Assistant Engineer,1987-08-08,47476
452451,Duro,Matzen,Assistant Engineer,1994-06-10,64113
106795,Arlette,Binding,Assistant Engineer,1990-09-21,40858
84214,Van,Chaudhuri,Assistant Engineer,1987-05-14,40000
414344,Saeko,Lichtman,Assistant Engineer,1986-08-15,54801
12069,Ayonca,Burnard,Assistant Engineer,1985-05-13,51928
259613,Ulf,Vesel,Assistant Engineer,1987-06-26,65554
488338,Yaghout,Pietracaprina,Assistant Engineer,1986-06-17,44988
15934,Kensyu,Shinomoto,Assistant Engineer,1995-08-20,50454
212867,Genta,Fujisaki,Assistant Engineer,1997-05-20,40000
77193,Keiichiro,Benzmuller,Assistant Engineer,1993-11-22,40000
413140,Vincent,Demian,Assistant Engineer,1985-09-18,40000
232037,Chaoyi,Guenter,Assistant Engineer,1988-08-03,57769
54858,Chinho,Sundgren,Assistant Engineer,1987-04-07,40000
252680,Martina,Sewelson,Assistant Engineer,1985-04-04,40000
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,53345
67967,Marin,Stille,Assistant Engineer,1987-11-11,40000
224988,Claude,Steinauer,Assistant Engineer,1988-10-22,40000
94788,Paris,Varker,Assistant Engineer,1997-02-21,42920
240344,Sarita,Koyama,Assistant Engineer,1985-07-11,40000
451920,Shigeichiro,Luck,Assistant Engineer,1985-02-09,46645
96444,Taizo,Radivojevic,Assistant Engineer,1988-09-30,46443
19406,Sakthirel,Lindenbaum,Assistant Engineer,1987-11-03,49576
73880,Katsuyuki,Gente,Assistant Engineer,1986-05-26,40000
57592,Heng,Wendorf,Assistant Engineer,1992-06-18,40000
46622,Filipp,Krzyzanowski,Assistant Engineer,1997-07-26,57693
418659,Basim,Barreiro,Assistant Engineer,1987-02-19,47666
49796,Edwin,Rouquie,Assistant Engineer,1990-05-02,51496
229049,Alois,Denis,Assistant Engineer,1985-07-24,70952
57540,Shounak,Armand,Assistant Engineer,1990-06-12,40000
19293,Elvia,Frezza,Assistant Engineer,1998-07-04,50563
236328,Chinhyun,Nations,Assistant Engineer,1986-10-06,40000
67740,Reinhard,Stifter,Assistant Engineer,1987-10-15,42141
234366,Goncalo,McFarlan,Assistant Engineer,1986-11-21,52239
233783,Tse,Orlowska,Assistant Engineer,1986-08-21,40000
291070,Danil,Verhoeff,Assistant Engineer,1987-09-03,70529
66869,Pasqua,Worfolk,Assistant Engineer,1986-03-15,40000
451062,Badri,Narwekar,Assistant Engineer,1987-07-19,40000
14289,Paraskevi,Gist,Assistant Engineer,1999-03-16,60863
23460,Masato,Steinauer,Assistant Engineer,1991-01-21,62890
54963,Toshiko,Bellmore,Assistant Engineer,1987-07-31,49338
19029,Khosrow,Jiang,Assistant Engineer,1989-08-14,40000
95647,Francoise,Cheshire,Assistant Engineer,1990-09-01,63045
41313,Gino,Nitto,Assistant Engineer,1987-11-27,42736
57223,Danel,Copas,Assistant Engineer,1996-04-14,72443
106645,Mechthild,Murtagh,Assistant Engineer,1987-12-03,59196
207276,Ramalingam,Oaver,Assistant Engineer,1998-06-04,40000
209322,Xumin,Frezza,Assistant Engineer,1988-03-14,40000
18980,Weiye,Kawashimo,Assistant Engineer,1987-01-08,56699
46221,Weidon,Kobuchi,Assistant Engineer,1993-09-23,51056
90778,Leucio,Kaiserswerth,Assistant Engineer,1986-05-21,40000
57157,Susuma,Byoun,Assistant Engineer,1988-07-31,40927
66991,Khoa,Ranum,Assistant Engineer,1996-08-27,51285
46191,Hilari,Pocchiola,Assistant Engineer,1993-06-06,47480
234347,Tomoyuki,Muchinsky,Assistant Engineer,1987-06-25,40000
106582,Yinlin,Coney,Assistant Engineer,1985-06-16,43391
18933,Barun,Panienski,Assistant Engineer,1988-05-03,47862
272296,Duro,Bennet,Assistant Engineer,1985-12-23,40000
29077,Candida,Tagansky,Assistant Engineer,1997-04-17,41624
74048,Krister,Mandell,Assistant Engineer,1989-06-29,40000
83934,Mabhin,Edelhoff,Assistant Engineer,1986-12-13,59927
450498,Reinhard,Ciolek,Assistant Engineer,1988-10-24,40000
18866,Fumiyo,Hettesheimer,Assistant Engineer,1997-04-10,56470
32455,Lokesh,Brlek,Assistant Engineer,1986-11-28,53757
450495,Isaac,Boguraev,Assistant Engineer,1996-10-16,59354
89353,Mostafa,Akiyama,Assistant Engineer,1986-12-16,40000
215889,Toshiko,Akiyama,Assistant Engineer,1988-12-12,40000
55070,Charmane,Woycyznski,Assistant Engineer,1991-02-14,66993
36425,Yishay,Zedlitz,Assistant Engineer,1988-10-31,61969
24900,Zeljko,Vidya,Assistant Engineer,1998-12-19,40000
233010,Nirmal,Khamsi,Assistant Engineer,1985-02-08,43088
18580,Mabo,Bamford,Assistant Engineer,1997-09-18,40000
93493,Amstein,Byoun,Assistant Engineer,1992-06-10,40000
450243,Mayumi,Undy,Assistant Engineer,1997-09-07,89121
214338,Mountaz,Rahimi,Assistant Engineer,1999-07-22,40000
201424,Leon,Frijda,Assistant Engineer,1995-01-06,40000
45788,Shiv,Mitsuhashi,Assistant Engineer,1985-04-18,48099
234307,Shin,Zaumen,Assistant Engineer,1986-09-12,40000
35902,Mayuko,Christ,Assistant Engineer,1989-06-08,63493
486690,Goh,Bahk,Assistant Engineer,1987-04-23,40000
216367,Kwangjo,Marchesini,Assistant Engineer,1985-05-17,52048
45722,Behnaam,Munke,Assistant Engineer,1987-03-14,40000
32200,Nalini,Sadowsky,Assistant Engineer,1988-09-07,42770
401015,Lijia,Lichtman,Assistant Engineer,1994-08-24,59046
225158,Siddarth,Shrader,Assistant Engineer,1987-01-04,40000
18468,Kirk,Cunliffe,Assistant Engineer,1987-03-19,40000
240083,Huan,Kroon,Assistant Engineer,1992-07-29,40726
67477,Morrie,Vasanthakumar,Assistant Engineer,1990-04-06,58087
83748,Hyuncheol,Molberg,Assistant Engineer,1991-07-30,40000
449459,Pohua,Bakhtari,Assistant Engineer,1994-05-10,51461
19120,Giri,Qiwen,Assistant Engineer,1994-05-20,49416
18438,Chiradeep,Iacovou,Assistant Engineer,1994-10-01,41898
102320,Bangqing,Sichman,Assistant Engineer,1989-02-23,40000
55230,Howell,Gonthier,Assistant Engineer,1991-09-30,40000
15876,Munehiro,Vakili,Assistant Engineer,1985-08-02,51140
74233,Zvonko,Spell,Assistant Engineer,1992-02-03,40000
32053,Arunachalam,Tiemann,Assistant Engineer,1985-10-13,40000
265332,Xiaoqiang,Szemeredi,Assistant Engineer,1987-10-12,40000
232211,Demos,Nishimukai,Assistant Engineer,1986-12-21,83003
449359,Arvind,Dratva,Assistant Engineer,1993-08-19,40000
60354,Shakhar,Plesums,Assistant Engineer,1998-03-07,40000
485846,Vishv,Gecsel,Assistant Engineer,1987-04-05,40000
56659,Takahiro,Lanteri,Assistant Engineer,1997-10-10,40000
235800,Huan,Belinskaya,Assistant Engineer,1989-11-23,40000
222446,Yonghong,Gente,Assistant Engineer,1993-04-12,45648
485810,Rasikan,Gunderson,Assistant Engineer,1992-05-22,40000
56545,Arunas,Oehlmann,Assistant Engineer,1994-07-05,46130
245642,Kiyokazu,Sommer,Assistant Engineer,1987-10-13,67047
18322,Tonia,Lueh,Assistant Engineer,1988-10-04,40000
295802,Xiahua,Engelmann,Assistant Engineer,1992-11-16,44662
91204,Wanqing,Shigei,Assistant Engineer,1985-06-26,47553
94710,Anneke,Schrooten,Assistant Engineer,1999-01-01,79794
291064,Claudi,Bernini,Assistant Engineer,1991-03-31,46142
91227,Spyrose,Bala,Assistant Engineer,1996-08-26,40000
106206,Behnaam,Schlenzig,Assistant Engineer,1985-10-01,40000
205559,Herbert,Portugali,Assistant Engineer,1987-11-26,66031
45318,Franziska,Dalton,Assistant Engineer,1986-08-09,40000
102609,Chaoyi,Felder,Assistant Engineer,1990-08-09,43987
276729,Radhakrishnan,Lubachevsky,Assistant Engineer,1991-01-16,41085
21908,Fen,Parfitt,Assistant Engineer,1986-03-21,52324
91270,Xiahua,Hiraishi,Assistant Engineer,1985-12-16,65288
222910,Barry,Isaac,Assistant Engineer,1987-06-07,42777
449001,Masako,Georgatos,Assistant Engineer,1986-06-16,40000
215966,Kayoko,Angot,Assistant Engineer,1987-09-26,40000
76788,Shigeu,Conia,Assistant Engineer,1986-01-29,40000
276720,Guadalupe,Solovay,Assistant Engineer,1988-11-01,40000
209278,Sverrir,Lanzelotte,Assistant Engineer,1985-12-25,40000
412368,Duangkaew,Garrabrants,Assistant Engineer,1987-11-17,42153
252224,True,Heiserman,Assistant Engineer,1986-03-16,47034
106113,Shigenori,Gill,Assistant Engineer,1988-06-05,40000
239744,Kristinn,Bahl,Assistant Engineer,1994-04-11,40000
205528,Shichao,Shiratori,Assistant Engineer,1988-12-19,40000
485189,Sigeru,Kemmerer,Assistant Engineer,1988-06-07,40000
67032,Xiaopeng,Erdmenger,Assistant Engineer,1985-02-24,42564
485176,Xudong,Ellozy,Assistant Engineer,1987-12-18,41507
216238,Weijing,Leppanen,Assistant Engineer,1987-04-14,80482
214446,Barry,Mersereau,Assistant Engineer,1998-08-17,71698
228690,Constantine,DuBourdieux,Assistant Engineer,1994-08-03,40000
66921,Weiru,Deville,Assistant Engineer,1987-09-15,45905
448524,Kwangsub,Akazan,Assistant Engineer,1991-03-11,51608
100138,Changho,Prenel,Assistant Engineer,1988-06-16,43804
45163,Peer,Flowers,Assistant Engineer,1989-05-26,47276
239667,Claude,Mayerwieser,Assistant Engineer,1988-02-18,40000
56187,Youpyo,Lienhardt,Assistant Engineer,1987-12-27,40000
218189,Vishv,Rindone,Assistant Engineer,1990-08-23,64144
74493,Susanne,Chelton,Assistant Engineer,1988-11-10,54053
225277,Hercules,Harbusch,Assistant Engineer,1998-05-12,40000
83436,Ult,Serdy,Assistant Engineer,1999-09-07,53451
83375,Anestis,Kenevan,Assistant Engineer,1998-05-19,42336
17815,Shuji,Wissmann,Assistant Engineer,1991-03-03,40000
400982,Jessie,Rindone,Assistant Engineer,1997-09-18,52245
102823,Guadalupe,Schusler,Assistant Engineer,1985-04-28,51282
212992,Xiong,Ferretti,Assistant Engineer,1986-01-14,46681
276694,Ymte,Emmerich,Assistant Engineer,1988-03-13,40000
60711,Mabry,Ramaiah,Assistant Engineer,1988-09-15,47868
91630,Saniya,Maquelin,Assistant Engineer,1990-11-28,54178
56159,Zengping,Shumilov,Assistant Engineer,1994-03-22,52527
83342,King,Piancastelli,Assistant Engineer,1993-06-09,40000
201381,Sadok,Basawa,Assistant Engineer,1988-08-17,41329
220238,Luise,Stille,Assistant Engineer,1991-09-04,43563
447727,Basem,Merel,Assistant Engineer,1985-10-01,57220
67653,Mabo,Rathonyi,Assistant Engineer,1990-07-18,49386
203896,Sumali,Ibel,Assistant Engineer,1994-06-30,52631
44943,Lalit,Hmelo,Assistant Engineer,1985-06-17,41434
205924,Alain,Ventosa,Assistant Engineer,1987-01-28,52775
226563,Minghong,Tsukune,Assistant Engineer,1985-05-18,57940
264952,Jahangir,Narlikar,Assistant Engineer,1995-08-08,53731
82388,Munehiko,Zucker,Assistant Engineer,1988-04-18,40000
31410,Mountaz,Iwayama,Assistant Engineer,1988-09-25,72890
74689,Chuanyi,Feldhoffer,Assistant Engineer,1993-03-10,64963
13333,Yoshinari,Hennebert,Assistant Engineer,1988-03-23,50997
207426,Mats,Panangaden,Assistant Engineer,1998-10-23,58946
17339,Fan,Mullainathan,Assistant Engineer,1991-10-03,58306
226661,Kannan,Rosenbaum,Assistant Engineer,1990-07-21,40000
55504,Jouni,Radwan,Assistant Engineer,1988-08-12,46549
76339,Aloys,Ohori,Assistant Engineer,1996-01-13,40000
31802,Murthy,Huhdanpaa,Assistant Engineer,1986-12-07,41583
34032,Weiwu,Gopalakrishnan,Assistant Engineer,1992-07-30,62672
29361,LiMin,McDermid,Assistant Engineer,1990-07-30,40000
76250,Fumiyo,Linnainmaa,Assistant Engineer,1991-03-07,40000
17260,Abdulah,Famili,Assistant Engineer,1987-05-18,40000
209163,Moni,Verspoor,Assistant Engineer,1985-08-01,40000
225315,Piyawadee,Choobineh,Assistant Engineer,1995-03-26,41223
76239,Nectarios,Baca,Assistant Engineer,1986-07-14,58939
203898,Odysseas,Mateescu,Assistant Engineer,1986-02-25,50377
31404,Gererd,Narlikar,Assistant Engineer,1985-05-26,40000
17140,Mabhin,Schwabacher,Assistant Engineer,1995-08-10,40000
239539,Shaz,Hedayat,Assistant Engineer,1996-06-02,40000
55632,Byong,Ravishankar,Assistant Engineer,1996-04-23,40000
483873,Sashi,Zultner,Assistant Engineer,1988-02-17,40000
218700,Uri,Diderrich,Assistant Engineer,1985-12-08,63088
29372,Parke,Chinin,Assistant Engineer,1992-03-12,40000
202507,Ziva,Marquardt,Assistant Engineer,1988-11-07,40000
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,66280
17068,Bodh,Gopalakrishnan,Assistant Engineer,1994-09-01,40000
276360,Berry,Gerlach,Assistant Engineer,1993-05-22,40000
483839,Jaewon,Maksimenko,Assistant Engineer,1988-06-20,65037
40484,Aria,Chiodo,Assistant Engineer,1987-03-10,40000
74922,Etsuo,Milicic,Assistant Engineer,1988-08-25,40000
483834,Tse,Oppitz,Assistant Engineer,1988-09-12,48941
76173,Heeju,Henseler,Assistant Engineer,1985-02-20,40000
225969,Tadanori,Shackell,Assistant Engineer,1998-08-06,72077
103424,Geoffrey,Knightly,Assistant Engineer,1998-07-06,40000
209033,Patricio,Percebois,Assistant Engineer,1987-07-20,40000
