emp_no,first_name,last_name,title,from_date,to_date
33293,Adamantios,Vanwelkenhuysen,Assistant Engineer,1994-01-11,1995-01-11
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,1997-05-18
84315,Kristina,Baumann,Assistant Engineer,1996-09-26,1997-09-26
239706,Arunas,Bugrara,Assistant Engineer,1997-04-03,1998-04-03
297905,Marc,Bahl,Assistant Engineer,1997-06-18,1998-06-18
214807,Prasadram,Qiwen,Assistant Engineer,1992-09-04,1993-09-04
92598,Ranga,Merro,Assistant Engineer,1996-05-11,1997-05-11
207551,Baziley,Falck,Assistant Engineer,1995-02-18,1996-02-18
32552,Atreye,Stanger,Assistant Engineer,1993-09-10,1994-09-10
262210,Chinho,Bottner,Assistant Engineer,1985-07-29,1986-07-29
297954,Sailaja,Fujisaki,Assistant Engineer,1995-07-24,1996-07-23
252185,Chaosheng,Conta,Assistant Engineer,1997-04-14,1998-04-14
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,1999-07-01
31629,Toong,Veldwijk,Assistant Engineer,1986-07-28,1987-07-28
207204,Kellie,Schrooten,Assistant Engineer,1991-01-17,1992-01-17
281570,Zijian,Covnot,Assistant Engineer,1994-09-13,1995-09-13
71745,Adil,Laventhal,Assistant Engineer,1992-05-13,1993-05-13
266981,Toshimi,Kragelund,Assistant Engineer,1988-02-21,1989-02-20
71710,Hitomi,Takanami,Assistant Engineer,1997-12-15,1998-12-15
401278,Oguz,Schurmann,Assistant Engineer,1986-11-11,1987-11-11
90614,Yonghoan,Trogemann,Assistant Engineer,1988-09-23,1989-09-23
222354,Valdiodio,Schlumberger,Assistant Engineer,1993-08-07,1994-08-07
222616,Badri,Schapire,Assistant Engineer,1998-01-19,1999-01-19
105731,Sachem,Cromarty,Assistant Engineer,1990-08-20,1991-08-20
225601,Masasuke,Genin,Assistant Engineer,1994-06-25,1995-06-25
201739,Genta,Terekhov,Assistant Engineer,1998-07-21,1999-07-21
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,1999-05-02
201180,Odinaldo,Bridgland,Assistant Engineer,1989-06-09,1990-06-09
281834,Fumitake,Marchegay,Assistant Engineer,1991-09-29,1992-09-28
230287,Renny,Alameldin,Assistant Engineer,1997-09-28,1998-09-28
70780,Behnaam,Angelov,Assistant Engineer,1995-01-29,1996-01-29
488115,Leah,Luke,Assistant Engineer,1995-08-23,1995-09-27
69936,Lalit,Unni,Assistant Engineer,1998-12-06,1999-12-06
109552,Menkae,Etalle,Assistant Engineer,1997-05-21,1998-05-21
231043,Torsten,Slobodova,Assistant Engineer,1992-07-20,1993-07-20
472052,Godehard,Chinal,Assistant Engineer,1995-12-09,1996-12-08
244711,Rosli,Butner,Assistant Engineer,1991-03-20,1992-03-19
282000,Hideo,Ratnakar,Assistant Engineer,1985-06-13,1986-06-13
282699,Candida,Felcyn,Assistant Engineer,1986-08-04,1987-08-04
283168,Sanjai,Kopetz,Assistant Engineer,1999-04-19,2000-04-18
262440,Subbu,Kaiserswerth,Assistant Engineer,1992-06-15,1993-06-15
290478,Tsvetan,Sherertz,Assistant Engineer,1989-08-07,1990-08-07
231459,Nectarios,Pramanik,Assistant Engineer,1999-11-18,2000-11-17
232723,Tesuya,Bugrara,Assistant Engineer,1993-02-13,1994-02-13
454338,Mohammed,Georg,Engineer,1998-08-03,1999-08-03
488482,Kensyu,Tsunoo,Engineer,1999-12-05,2000-12-04
453790,Fai,Keirsey,Engineer,1994-10-12,1995-10-12
235325,Gro,Prochazka,Engineer,1992-10-16,1993-10-16
488414,Changho,Gaughan,Engineer,1987-06-21,1988-06-20
106958,Horward,Begiun,Engineer,1985-11-06,1986-11-06
453688,Chinya,Leslie,Engineer,1995-10-28,1996-10-27
233818,Kellie,Heydon,Engineer,1985-11-11,1986-11-11
38103,Masasuke,Babu,Engineer,1988-03-31,1989-03-31
233765,Kotesh,Chachaty,Engineer,1991-03-25,1992-03-24
233759,Zissis,Lodder,Engineer,1999-09-25,2000-09-24
233690,Cedric,Riefers,Engineer,1994-09-08,1995-09-08
91462,Siamak,Janocha,Engineer,1997-08-26,1998-03-21
258028,Mountaz,Reinhart,Engineer,2000-01-21,2001-01-20
257799,Sushant,Riefers,Engineer,1987-12-05,1988-12-04
91934,Nikolaus,Swen,Engineer,2000-01-28,2001-01-27
457813,Foong,Gargeya,Engineer,1992-01-24,1993-01-23
457776,Florian,Siepmann,Engineer,1987-12-21,1988-12-20
256881,Ioana,Jakobus,Engineer,1990-08-10,1991-08-10
256216,Halsur,Brodal,Engineer,1997-11-22,1998-11-22
255657,Oldrich,Cyre,Engineer,1985-02-10,1986-02-10
457611,Indrajit,Krogh,Engineer,1998-09-18,1999-09-18
92920,Huei,Hutter,Engineer,1993-01-28,1994-01-28
254044,Gunilla,Brendel,Engineer,1992-04-10,1993-04-10
93278,Magdalena,Penn,Engineer,1997-01-04,1998-01-04
253029,Thodoros,Thimonier,Engineer,1995-04-05,1996-04-03
93794,Rimli,Werthner,Engineer,1994-05-27,1995-05-27
457489,Berna,Ranst,Engineer,1985-05-14,1986-05-14
94761,Hitofumi,Zaccaria,Engineer,1988-11-22,1989-11-22
251437,Shichao,Iwayama,Engineer,1989-10-17,1990-10-17
36982,Kotesh,Rajala,Engineer,1992-06-23,1993-06-23
37592,Berni,Stranks,Engineer,1985-11-05,1986-11-05
249969,Georgi,Luiz,Engineer,1991-06-10,1992-06-09
249799,Jolita,Neimat,Engineer,1993-12-27,1994-12-27
249780,Nechama,Gaughan,Engineer,1986-01-16,1987-01-16
249504,Dmitry,Velardi,Engineer,1994-03-01,1995-03-01
249451,Gopalakrishnan,Pehl,Engineer,1995-03-15,1996-03-14
249433,Ayonca,Matzov,Engineer,1988-06-03,1989-06-03
95406,Alair,Lyonns,Engineer,1997-07-12,1998-07-12
95416,Gianluca,Ramaiah,Engineer,1993-11-29,1994-11-29
95509,Kristinn,Loncour,Engineer,1995-02-08,1996-02-08
37719,Nakhoon,Buescher,Engineer,1988-06-12,1989-06-12
247612,Chiranjit,Constantine,Engineer,1997-05-25,1998-05-25
247456,Masako,Bahk,Engineer,1997-07-31,1998-07-31
17799,Gro,Gini,Engineer,1997-09-28,1998-09-28
95692,Abdulah,Hofstetter,Engineer,1999-11-24,2000-07-24
455814,Giao,DuCasse,Engineer,1991-07-19,1992-07-18
246364,Alper,Tiemann,Engineer,1998-10-29,1999-10-29
96579,Mohan,Tasistro,Engineer,1996-02-10,1997-02-09
245164,Filipp,Winter,Engineer,1996-10-24,1997-10-24
96767,Arumugam,Vecchio,Engineer,1985-08-14,1986-08-14
488619,Georgy,Bennis,Engineer,1998-04-11,1999-04-11
97018,Jeanna,Chinen,Engineer,1989-01-01,1990-01-01
97092,Anwar,Riexinger,Engineer,1991-12-31,1992-12-30
455296,Mang,Sundgren,Engineer,1995-11-27,1996-11-26
97697,Moie,Karunanithi,Engineer,1990-02-07,1991-02-07
242867,Paddy,Nittel,Engineer,1999-11-10,2000-04-14
242800,Kazuyasu,Levergood,Engineer,1996-02-10,1997-02-09
242611,Frazer,Flanders,Engineer,1995-08-25,1996-08-24
242314,Miyeon,Burnard,Engineer,1985-02-07,1985-12-13
497409,Reinhard,Erde,Engineer,1992-12-04,1993-12-04
100865,Hisao,Peral,Engineer,1990-10-03,1991-10-03
241667,Atilio,Olivero,Engineer,1985-09-04,1986-09-04
241567,Emran,Miara,Engineer,1989-05-02,1990-05-02
100877,Kazuhide,Harnett,Engineer,1995-02-02,1996-02-02
241100,Cedric,Molenaar,Engineer,1990-10-06,1991-10-06
454825,Kamakshi,Schusler,Engineer,1995-05-25,1996-05-24
240340,Mack,Staylopatis,Engineer,1985-04-02,1986-04-02
240253,Shrikanth,Ramaiah,Engineer,1995-05-12,1996-05-11
102620,Adin,Templeman,Engineer,1997-12-10,1998-12-10
103166,Waiman,Dalton,Engineer,1990-05-25,1991-05-25
239664,Sugwoo,Michaels,Engineer,1992-08-02,1993-08-02
239426,Vesna,Fairtlough,Engineer,1994-08-09,1995-08-09
103316,Susanne,Peternell,Engineer,1994-07-27,1995-07-27
103342,Beshir,Hellwagner,Engineer,1998-02-03,1999-02-03
454736,Nechama,Ermel,Engineer,1995-06-05,1996-06-04
38043,Michaela,Randi,Engineer,1985-11-23,1986-11-23
103756,Heping,Halloran,Engineer,1992-04-08,1993-04-08
104962,Zongyan,Auyong,Engineer,1987-11-02,1988-11-01
105191,Jaber,Kleiser,Engineer,1986-12-13,1987-09-22
105356,Diederik,Matzov,Engineer,1988-05-12,1989-05-12
105432,Mohamadou,Stafford,Engineer,1995-09-12,1996-09-11
105589,Yechiam,Egerstedt,Engineer,1995-12-31,1996-12-30
236827,Almudena,Rijckaert,Engineer,1994-02-16,1995-02-16
216502,Xiaocheng,Suermann,Engineer,1997-12-15,1998-12-15
216062,Shuichi,Anick,Engineer,1985-11-24,1986-11-24
208147,Manu,Rothenberg,Engineer,1988-12-06,1989-12-06
40785,Youpyo,Castellani,Engineer,1998-09-04,1999-09-04
208653,Phillip,Schade,Engineer,1989-03-03,1990-03-03
214995,Dinkar,Hoppenstand,Engineer,1994-05-04,1995-05-04
214866,Gopalakrishnan,Angel,Engineer,1997-07-05,1998-07-05
214789,Arfst,Chepyzhov,Engineer,1989-02-06,1990-02-06
214539,Ingmar,Kohling,Engineer,1995-04-25,1996-04-24
214427,Peer,Molberg,Engineer,1996-11-17,1997-11-17
214184,Sivanarayana,Ranka,Engineer,1999-10-25,2000-10-24
213447,Armond,Perly,Engineer,1989-09-14,1990-09-14
213016,Yongmao,Fontan,Engineer,1993-07-26,1994-07-26
41357,Willard,Vernadat,Engineer,1997-03-04,1998-03-04
212703,Kien,Bennis,Engineer,1993-01-06,1994-01-06
212361,Claudi,Stanfel,Engineer,1996-01-07,1997-01-06
209456,Adhemar,Leonhardt,Engineer,1998-11-01,1999-11-01
212074,Tomokazu,Byoun,Engineer,1996-07-30,1997-07-30
211967,Anwar,Bain,Engineer,1989-01-22,1990-01-22
211879,Gao,Ranze,Engineer,1994-11-24,1995-11-24
211858,Domenico,Ratnaker,Engineer,1985-03-24,1986-03-24
209712,Nimmagadda,Baak,Engineer,1987-10-30,1988-10-29
209945,Roded,Veevers,Engineer,1990-10-23,1991-10-23
210449,Gino,Lagarias,Engineer,1997-06-22,1998-06-22
210610,Arco,Crouzet,Engineer,1994-09-03,1995-09-03
486956,Matt,Ruemmler,Engineer,1993-10-14,1994-10-14
448918,Chiradeep,Arlazarov,Engineer,1989-10-06,1990-10-06
42911,Brigham,Eterovic,Engineer,1994-10-08,1995-10-08
42955,Yucel,Lortz,Engineer,1995-02-21,1996-02-21
447999,Shiv,Vilarrasa,Engineer,1990-08-01,1991-08-01
447982,Shiv,Baezner,Engineer,1990-12-17,1991-12-17
447966,Kamakshi,Hebert,Engineer,1997-01-17,1998-01-17
486955,Jaber,Feldmann,Engineer,1997-05-23,1998-05-23
447877,Make,Heuser,Engineer,1988-07-02,1989-07-02
447613,Paris,Restivo,Engineer,1986-11-21,1987-11-21
43848,Phillip,Oxenboll,Engineer,1999-05-26,2000-05-25
497007,Oldrich,Adachi,Engineer,1997-04-03,1998-04-03
44054,Alenka,Ritcey,Engineer,1997-02-09,1998-02-09
447290,Maria,Miculan,Engineer,1993-04-12,1994-04-12
447191,Dmitri,Rousseau,Engineer,1995-06-19,1996-06-18
12155,Keiichiro,Glinert,Engineer,1993-09-16,1994-09-16
44265,Maria,Eppinger,Engineer,1997-01-30,1998-01-30
446785,Yuping,Papastamatiou,Engineer,1988-08-30,1989-08-30
446424,DAIDA,Nooteboom,Engineer,1985-11-24,1986-11-24
44959,Volkmar,Uhrik,Engineer,1988-01-16,1989-01-15
445456,Apostol,Gruenwald,Engineer,1998-08-04,1999-08-04
445226,Oscar,Baumann,Engineer,1987-01-22,1988-01-22
46943,Pasqua,Maraist,Engineer,1993-12-06,1994-12-06
47139,Marco,Usdin,Engineer,1996-10-29,1997-10-29
485817,Mahmut,Bolotov,Engineer,1995-01-10,1996-01-10
485579,Munehiro,Iwayama,Engineer,1986-12-16,1987-12-16
442898,Aksel,Gire,Engineer,1999-06-27,2000-06-26
442704,Terresa,Milicia,Engineer,1993-05-24,1994-05-24
49017,Filipp,Flanders,Engineer,1990-11-26,1991-11-26
442653,Mona,Hebden,Engineer,1995-10-20,1996-10-19
442490,Navid,Luke,Engineer,1994-10-17,1995-10-17
484756,Phule,Ruemmler,Engineer,1990-08-09,1991-08-09
441954,Leszek,Marchegay,Engineer,1999-06-13,2000-06-12
441651,Aimee,Billawala,Engineer,1989-02-20,1990-02-20
49177,Tze,Bach,Engineer,1999-03-09,2000-03-08
484498,Herbert,Hammerschmidt,Engineer,1996-08-22,1997-08-22
18810,Taiji,Jarecki,Engineer,1991-06-27,1992-06-26
495969,Geoffrey,Panienski,Engineer,1988-11-28,1989-11-28
499260,Danae,Honglei,Engineer,1998-09-14,1999-09-14
483675,Hausi,Kamber,Engineer,1988-02-16,1989-02-15
50293,Xinan,Rindone,Engineer,1996-10-08,1997-10-08
438723,Charlene,Verspoor,Engineer,1992-03-16,1993-03-16
438557,Lidong,Swist,Engineer,1999-09-16,2000-09-15
50360,Sumali,Kushner,Engineer,1999-10-30,2000-10-29
51060,Youngkon,Rohrbach,Engineer,1989-10-20,1990-10-20
19236,Elzbieta,Morris,Engineer,1988-07-12,1989-07-12
19803,Ziva,Kowalchuk,Engineer,1987-06-13,1988-06-12
51142,Rosine,Lakshmanan,Engineer,1986-01-31,1987-01-31
14075,Denny,Tchuente,Engineer,1991-05-30,1992-05-29
435791,Hercules,Speer,Engineer,1994-03-07,1995-03-07
494088,Phule,Dahlbom,Engineer,1989-02-06,1990-02-06
435357,Jaques,Standera,Engineer,1997-10-02,1998-03-11
52599,Augustine,Mungall,Engineer,1987-08-31,1988-08-30
20313,Candida,Benveniste,Engineer,1999-01-20,2000-01-20
482335,Kwangyoen,Peck,Engineer,1994-01-16,1995-01-16
434936,Sahrah,Rosis,Engineer,1994-06-24,1995-06-24
53088,Mechthild,Lamma,Engineer,1986-05-19,1987-05-19
20712,Valeri,Escriba,Engineer,1994-04-09,1995-04-09
53597,Jiafu,Marchegay,Engineer,1985-03-02,1986-03-02
20885,Otmar,Rothenberg,Engineer,1989-03-14,1990-03-14
432665,Flemming,Driscoll,Engineer,1991-06-28,1992-06-27
432523,Takahiro,Maquelin,Engineer,1997-07-21,1998-07-21
432399,Nitsan,Nollmann,Engineer,1990-09-10,1991-09-10
432257,Kwangjo,Hiltgen,Engineer,1998-12-22,1999-12-22
431882,Hideo,Varman,Engineer,1997-06-19,1998-06-19
431759,Alassane,Ramsay,Engineer,1987-11-05,1988-11-04
481148,Gina,Decaestecker,Engineer,1986-06-20,1987-06-20
14127,Magdalena,Cannard,Engineer,1994-04-22,1995-04-22
480571,Anoosh,Wielonsky,Engineer,1994-08-04,1995-08-04
430631,Kersti,Marsiglia,Engineer,1994-02-19,1995-02-19
430558,Xiong,Roisin,Engineer,1988-03-01,1989-03-01
54198,Shaowen,Segond,Engineer,1986-01-06,1987-01-06
55121,Toshiko,Alblas,Engineer,1995-07-20,1996-07-19
55640,Adit,Syrotiuk,Engineer,1993-07-16,1994-07-16
21188,Piyush,Danecki,Engineer,2000-01-08,2001-01-07
429569,Fumiya,Chappelet,Engineer,1992-09-03,1993-09-03
429520,Yongqiao,Francisci,Engineer,1999-12-01,2000-11-30
429481,Subhada,Emmerich,Engineer,1996-03-06,1997-03-06
493278,Shaleah,Pileggi,Engineer,1999-02-10,1999-10-30
22185,Huai,Birch,Engineer,1996-03-26,1997-03-26
56105,Makato,Remmers,Engineer,1989-04-16,1990-04-16
56209,Remzi,Douceur,Engineer,1992-12-01,1993-12-01
428917,Theron,Billawala,Engineer,1989-02-17,1990-02-17
428294,Nimmagadda,Kusakari,Engineer,1992-09-29,1993-09-29
479407,Randi,Tomescu,Engineer,1986-11-25,1987-11-25
479024,Ewing,Kalorkoti,Engineer,1996-12-21,1997-12-21
56829,Nagui,Gruenwald,Engineer,1995-12-24,1996-12-23
427659,Mariusz,Ritcey,Engineer,1987-03-16,1988-03-15
427571,Torsten,Ranta,Engineer,1987-12-11,1988-12-10
57934,Sanjoy,Boudaillier,Engineer,1989-12-27,1990-12-27
493096,Sachem,Msuda,Engineer,1995-04-07,1996-04-05
426958,Weijing,Viele,Engineer,1985-10-03,1986-10-03
478768,Arun,Katzenelson,Engineer,1991-10-28,1992-10-27
426819,Sandeepan,Kulisch,Engineer,1997-05-16,1998-05-16
58217,Kiyotoshi,Kusalik,Engineer,1998-11-19,1999-06-26
22926,Manibrata,Genther,Engineer,1988-01-15,1989-01-14
426683,Xudong,Muntz,Engineer,1991-03-08,1992-03-07
426611,Serap,Bahi,Engineer,1986-05-15,1987-05-15
426228,Supot,Badache,Engineer,1996-08-17,1997-08-17
58454,Ziya,Zambonelli,Engineer,1999-06-29,2000-06-28
478218,Djenana,Erol,Engineer,1999-01-31,2000-01-31
58990,Palash,Trelles,Engineer,1998-11-18,1999-11-18
425830,Guther,Conia,Engineer,1999-02-13,2000-02-13
499495,Baoqiu,Kakkar,Engineer,1999-08-30,2000-08-29
478007,Fumino,Narahara,Engineer,1991-09-21,1992-09-20
60000,Heekeun,Emmart,Engineer,1995-09-23,1996-09-22
425437,Moni,Staudhammer,Engineer,1999-03-23,2000-03-22
424984,Vasilis,Waleschkowski,Engineer,1996-05-26,1997-05-26
60559,Jeanna,Stemann,Engineer,1988-08-29,1989-08-29
477578,Marit,Paludetto,Engineer,1990-09-30,1991-09-30
477352,Nikolaos,Lorch,Engineer,1999-04-17,2000-04-16
424714,Nathan,Vendrig,Engineer,1990-08-20,1991-08-20
424584,Kagan,Dredge,Engineer,1994-02-26,1995-02-26
424569,Danco,Luff,Engineer,1997-10-30,1998-10-30
60845,Bedir,Siegrist,Engineer,1997-05-13,1998-05-13
24377,Lubomir,Wroclawski,Engineer,1993-07-25,1994-07-25
423208,Joydip,Krone,Engineer,1995-02-08,1996-02-08
422783,Jagoda,Uhrig,Engineer,1995-09-01,1996-08-31
61541,Kasidit,Papsdorf,Engineer,1993-08-17,1994-08-17
422146,Kenton,Miara,Engineer,1999-05-14,2000-05-13
421755,Shichao,Thiria,Engineer,1989-01-11,1990-01-11
61873,Woody,Rusmann,Engineer,1993-02-26,1994-02-26
421312,Mariangiola,Bashian,Engineer,1999-09-18,2000-09-17
421039,Aemilian,Zedlitz,Engineer,1988-12-23,1989-12-23
476122,Khun,Spieker,Engineer,1995-05-07,1996-05-06
14476,Sastry,Marrevee,Engineer,1999-09-25,2000-09-24
62046,Karlis,Nanard,Engineer,1992-09-19,1993-09-19
475965,Rimon,Pietracaprina,Engineer,1985-07-10,1986-07-10
62245,Adel,Bressoud,Engineer,1995-08-30,1996-08-29
475938,Shigeaki,Lanteri,Engineer,1989-02-17,1990-02-17
63294,Tetsushi,Tanemo,Engineer,1997-03-01,1998-03-01
420599,Hidde,Riexinger,Engineer,1986-11-18,1987-11-18
24571,Cordelia,Gischer,Engineer,1989-03-14,1990-03-14
15050,Nikolaos,Kruskal,Engineer,1990-12-17,1991-12-17
420086,Susuma,Kitsuregawa,Engineer,1985-05-28,1986-05-28
474918,Rasikan,Khalil,Engineer,1985-02-10,1985-03-11
63706,Sedat,Itzigehl,Engineer,1997-07-31,1998-07-31
26617,Berto,Bruckman,Engineer,1991-11-23,1992-11-22
418606,Michaela,Otillio,Engineer,1994-01-05,1995-01-05
418309,Danel,Petereit,Engineer,1985-02-21,1986-02-21
418298,Arvin,Pusterhofer,Engineer,1995-03-02,1996-03-01
474763,Mayuko,Clouatre,Engineer,1997-09-04,1998-09-04
416892,Shooichi,Vandervoorde,Engineer,1996-08-16,1997-08-16
26671,Jiakeng,Kalorkoti,Engineer,1994-12-25,1995-12-25
416455,Laurentiu,Morton,Engineer,1998-12-21,1999-12-21
492677,Goetz,McAffer,Engineer,1988-02-05,1989-02-04
416383,Nectarios,Itschner,Engineer,1990-03-02,1991-03-02
416074,Alain,Lieberherr,Engineer,1987-05-11,1988-05-10
415563,Mrinalini,Bierbaum,Engineer,1986-03-12,1987-03-12
26788,Zongyan,Dalphin,Engineer,1988-04-23,1989-04-23
415234,Ewing,Baak,Engineer,1993-10-05,1993-10-19
414922,Prasadram,Piazza,Engineer,1987-06-05,1988-06-04
474162,Ung,Taubenfeld,Engineer,1999-10-14,2000-10-13
64487,Tsutomu,Rebaine,Engineer,1986-09-17,1987-09-17
473940,Avishai,Majewski,Engineer,1998-01-10,1999-01-10
414662,Ipke,Schneeberger,Engineer,1985-09-20,1986-09-20
414091,Wuxu,Kuhnemann,Engineer,1997-08-19,1998-08-19
492639,Sanjoy,Porenta,Engineer,1997-07-10,1998-07-10
64790,Shin,Piveteau,Engineer,1985-04-19,1986-04-19
64984,Eldridge,Eldridge,Engineer,1986-06-24,1987-06-24
413554,Elvia,Schwartzburd,Engineer,1991-10-16,1992-10-15
15413,Arvin,Rabejac,Engineer,1994-01-01,1995-01-01
412757,Leen,Peak,Engineer,1999-11-20,2000-11-19
65013,Chandrasekaran,Peral,Engineer,1985-02-28,1986-02-28
411906,Anneli,Pappas,Engineer,1998-07-04,1998-09-19
411082,Martine,Cangellaris,Engineer,1992-04-28,1993-04-28
66382,Domenico,Candan,Engineer,1997-07-13,1998-07-13
66643,Jianhao,Tomescu,Engineer,1996-08-26,1997-08-26
410372,Duri,Mitina,Engineer,1990-03-04,1991-03-04
409391,Willard,Verspoor,Engineer,1999-02-28,2000-02-28
66807,Aiman,Rosaz,Engineer,1990-05-22,1991-05-22
27699,Falguni,Pezzoli,Engineer,1996-12-23,1997-12-23
408114,Geoffrey,Ladret,Engineer,1994-01-03,1995-01-03
68608,Yucai,Seghrouchni,Engineer,1989-06-09,1990-06-09
406564,Parviz,Picco,Engineer,1995-04-16,1996-04-15
406299,Kitty,Kolvik,Engineer,1991-10-07,1992-10-06
69878,Chinya,Cooke,Engineer,1997-01-29,1998-01-29
404879,Jeanne,Kaminger,Engineer,1987-07-21,1988-07-20
404788,Basem,Beausoleil,Engineer,1998-03-16,1999-03-16
471911,Arun,Zaccaria,Engineer,1990-05-31,1991-05-31
404462,Anestis,Setlzner,Engineer,1985-07-13,1986-07-13
403954,Jeanna,Bratten,Engineer,1990-07-26,1991-07-26
403455,Marko,Velardi,Engineer,1992-11-22,1993-11-22
402718,Jeanna,Rettelbach,Engineer,1990-02-14,1991-02-14
71243,Kinh,Buchter,Engineer,1986-03-29,1987-03-29
402102,Kersti,Granlund,Engineer,1995-03-19,1996-03-18
71334,Cathie,Peck,Engineer,1993-04-12,1994-04-12
471397,Nigel,Zirintsis,Engineer,1999-01-03,2000-01-03
470472,Zhiguo,Staudhammer,Engineer,1985-12-03,1986-12-03
401333,Martins,Shokrollahi,Engineer,1986-11-04,1987-11-04
400796,Bodo,Halevi,Engineer,1996-05-30,1997-05-30
400780,Poornachandra,Asser,Engineer,1993-11-07,1994-11-07
400358,Angus,Jullig,Engineer,1989-04-13,1990-04-13
400344,Yishai,Sessa,Engineer,1996-08-21,1997-08-21
498955,Nechama,Kandlur,Engineer,1995-01-16,1996-01-16
299580,Luisa,Itzfeldt,Engineer,1997-01-23,1998-01-23
72190,Sajjad,Waeselynck,Engineer,1999-09-13,2000-09-12
72232,Naraig,Veldwijk,Engineer,1989-07-10,1990-07-10
297804,Vasilis,Ginneken,Engineer,1985-09-13,1986-09-13
72640,Honglan,Hutton,Engineer,1993-10-04,1994-10-04
469529,Neven,Rikino,Engineer,1988-10-21,1989-10-21
469399,Hongzhu,Ruemmler,Engineer,1999-02-14,2000-02-14
73516,Qingxiang,Badache,Engineer,1989-06-25,1990-06-25
469366,Aiman,Wilfing,Engineer,1990-12-30,1991-12-30
73743,Anneke,Bernardeschi,Engineer,1999-11-01,2000-10-31
73794,Aiichiro,Castellani,Engineer,1985-08-26,1986-08-26
469269,Weiyi,Codenie,Engineer,1989-05-27,1990-05-27
295476,Shawna,Chiodo,Engineer,1999-01-22,1999-04-05
73903,Bartek,Cappello,Engineer,1988-07-28,1989-07-28
295278,Val,Barvinok,Engineer,1990-01-02,1991-01-02
469104,Nadjib,Comellas,Engineer,1996-04-18,1997-04-18
295236,Kauko,Fujisawa,Engineer,1987-09-13,1988-09-12
468659,Ranga,Lemarechal,Engineer,1989-11-05,1990-11-05
74237,Jaihie,Vilarrasa,Engineer,1992-03-03,1993-03-03
468417,Kamakshi,Huhdanpaa,Engineer,1993-08-26,1994-08-26
293329,Fumiya,Griswold,Engineer,1986-06-12,1987-06-12
293280,Moti,Steenbeek,Engineer,1987-01-22,1988-01-22
292901,Shuky,Journel,Engineer,1985-02-14,1986-02-14
292828,Ziya,Tokunaga,Engineer,1986-01-08,1987-01-08
292504,Georgi,Bednarek,Engineer,1994-03-02,1995-03-02
467441,Margareta,Bondorf,Engineer,1988-11-07,1989-11-07
74344,Hiroyasu,Provine,Engineer,1994-11-25,1995-11-25
292146,Khatoun,Pulkowski,Engineer,1998-01-11,1999-01-11
292110,Menkae,Showalter,Engineer,1996-08-09,1997-08-09
467392,Mariusz,Rikino,Engineer,1995-04-13,1996-04-12
291669,Faiza,Bach,Engineer,1999-09-13,2000-09-12
291612,Siamak,Gomatam,Engineer,1998-07-08,1999-07-08
75113,Zissis,Birch,Engineer,1994-08-19,1995-08-19
75354,Shuky,Jakobus,Engineer,1986-06-16,1987-06-16
30182,Leon,Potthoff,Engineer,1985-12-08,1986-12-08
75420,Clyde,Vrecion,Engineer,1997-07-03,1998-07-03
290284,Kwangjo,Menhardt,Engineer,1996-01-11,1997-01-10
75703,Kyoichi,Erman,Engineer,1996-07-25,1997-07-25
